Title,Platform,Genres,Rating,Wishlist,Plays,Backlogs,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year,Release_Year,Publisher
Minecraft,X360,Adventure,4.3,230.0,33000.0,1.1K,9.2,5.58,2.83,0.02,0.77,2013.0,2011.0,Microsoft Game Studios
Minecraft,PS3,Adventure,4.3,230.0,33000.0,1.1K,5.42,1.97,2.51,0.0,0.94,2014.0,2011.0,Sony Computer Entertainment
Minecraft,PS4,Adventure,4.3,230.0,33000.0,1.1K,4.02,1.38,1.87,0.12,0.65,2014.0,2011.0,Sony Computer Entertainment Europe
Minecraft,XOne,Adventure,4.3,230.0,33000.0,1.1K,2.41,1.43,0.76,0.0,0.22,2014.0,2011.0,Microsoft Game Studios
Minecraft,PSV,Adventure,4.3,230.0,33000.0,1.1K,2.25,0.28,0.79,0.87,0.32,2014.0,2011.0,Sony Computer Entertainment Europe
Minecraft,WiiU,Adventure,4.3,230.0,33000.0,1.1K,0.43,0.18,0.09,0.14,0.03,2016.0,2011.0,Microsoft Game Studios
Minecraft,X360,Simulator,4.3,230.0,33000.0,1.1K,9.2,5.58,2.83,0.02,0.77,2013.0,2011.0,Microsoft Game Studios
Minecraft,PS3,Simulator,4.3,230.0,33000.0,1.1K,5.42,1.97,2.51,0.0,0.94,2014.0,2011.0,Sony Computer Entertainment
Minecraft,PS4,Simulator,4.3,230.0,33000.0,1.1K,4.02,1.38,1.87,0.12,0.65,2014.0,2011.0,Sony Computer Entertainment Europe
Minecraft,XOne,Simulator,4.3,230.0,33000.0,1.1K,2.41,1.43,0.76,0.0,0.22,2014.0,2011.0,Microsoft Game Studios
Minecraft,PSV,Simulator,4.3,230.0,33000.0,1.1K,2.25,0.28,0.79,0.87,0.32,2014.0,2011.0,Sony Computer Entertainment Europe
Minecraft,WiiU,Simulator,4.3,230.0,33000.0,1.1K,0.43,0.18,0.09,0.14,0.03,2016.0,2011.0,Microsoft Game Studios
God of War,PS2,Adventure,4.2,2600.0,21000.0,4.8K,4.45,2.71,1.29,0.02,0.43,2005.0,2018.0,Sony Computer Entertainment
God of War,PS2,Brawler,4.2,2600.0,21000.0,4.8K,4.45,2.71,1.29,0.02,0.43,2005.0,2018.0,Sony Computer Entertainment
God of War,PS2,Rpg,4.2,2600.0,21000.0,4.8K,4.45,2.71,1.29,0.02,0.43,2005.0,2018.0,Sony Computer Entertainment
Portal 2,X360,Adventure,4.4,1200.0,29000.0,3.9K,2.1,1.41,0.51,0.01,0.17,2011.0,2011.0,Valve Software
Portal 2,PS3,Adventure,4.4,1200.0,29000.0,3.9K,1.74,0.83,0.63,0.02,0.25,2011.0,2011.0,Valve
Portal 2,PC,Adventure,4.4,1200.0,29000.0,3.9K,0.76,0.33,0.32,0.0,0.11,2011.0,2011.0,Valve Software
Portal 2,X360,Platform,4.4,1200.0,29000.0,3.9K,2.1,1.41,0.51,0.01,0.17,2011.0,2011.0,Valve Software
Portal 2,PS3,Platform,4.4,1200.0,29000.0,3.9K,1.74,0.83,0.63,0.02,0.25,2011.0,2011.0,Valve
Portal 2,PC,Platform,4.4,1200.0,29000.0,3.9K,0.76,0.33,0.32,0.0,0.11,2011.0,2011.0,Valve Software
Portal 2,X360,Puzzle,4.4,1200.0,29000.0,3.9K,2.1,1.41,0.51,0.01,0.17,2011.0,2011.0,Valve Software
Portal 2,PS3,Puzzle,4.4,1200.0,29000.0,3.9K,1.74,0.83,0.63,0.02,0.25,2011.0,2011.0,Valve
Portal 2,PC,Puzzle,4.4,1200.0,29000.0,3.9K,0.76,0.33,0.32,0.0,0.11,2011.0,2011.0,Valve Software
Portal 2,X360,Shooter,4.4,1200.0,29000.0,3.9K,2.1,1.41,0.51,0.01,0.17,2011.0,2011.0,Valve Software
Portal 2,PS3,Shooter,4.4,1200.0,29000.0,3.9K,1.74,0.83,0.63,0.02,0.25,2011.0,2011.0,Valve
Portal 2,PC,Shooter,4.4,1200.0,29000.0,3.9K,0.76,0.33,0.32,0.0,0.11,2011.0,2011.0,Valve Software
Bloodborne,PS4,Adventure,4.5,3300.0,17000.0,5.6K,2.38,1.0,0.76,0.26,0.36,2015.0,2015.0,Sony Computer Entertainment
Bloodborne,PS4,Rpg,4.5,3300.0,17000.0,5.6K,2.38,1.0,0.76,0.26,0.36,2015.0,2015.0,Sony Computer Entertainment
Metal Gear Rising: Revengeance,PS3,Adventure,4.1,2000.0,14000.0,4.2K,1.47,0.45,0.4,0.44,0.18,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,X360,Adventure,4.1,2000.0,14000.0,4.2K,0.5,0.29,0.16,0.0,0.04,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,PS3,Brawler,4.1,2000.0,14000.0,4.2K,1.47,0.45,0.4,0.44,0.18,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,X360,Brawler,4.1,2000.0,14000.0,4.2K,0.5,0.29,0.16,0.0,0.04,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,PS3,Shooter,4.1,2000.0,14000.0,4.2K,1.47,0.45,0.4,0.44,0.18,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,X360,Shooter,4.1,2000.0,14000.0,4.2K,0.5,0.29,0.16,0.0,0.04,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,PS3,Strategy,4.1,2000.0,14000.0,4.2K,1.47,0.45,0.4,0.44,0.18,2013.0,2013.0,Konami Digital Entertainment
Metal Gear Rising: Revengeance,X360,Strategy,4.1,2000.0,14000.0,4.2K,0.5,0.29,0.16,0.0,0.04,2013.0,2013.0,Konami Digital Entertainment
Grand Theft Auto V,PS3,Adventure,3.8,664.0,30000.0,3.2K,21.4,7.01,9.27,0.97,4.14,2013.0,2013.0,Take-Two Interactive
Grand Theft Auto V,X360,Adventure,3.8,664.0,30000.0,3.2K,16.38,9.63,5.31,0.06,1.38,2013.0,2013.0,Take-Two Interactive
Grand Theft Auto V,PS4,Adventure,3.8,664.0,30000.0,3.2K,11.98,3.8,5.81,0.36,2.02,2014.0,2013.0,Take-Two Interactive
Grand Theft Auto V,XOne,Adventure,3.8,664.0,30000.0,3.2K,5.08,2.66,2.01,0.0,0.41,2014.0,2013.0,Take-Two Interactive
Grand Theft Auto V,PC,Adventure,3.8,664.0,30000.0,3.2K,1.08,0.36,0.64,0.0,0.08,2015.0,2013.0,Take-Two Interactive
Grand Theft Auto V,PS3,Shooter,3.8,664.0,30000.0,3.2K,21.4,7.01,9.27,0.97,4.14,2013.0,2013.0,Take-Two Interactive
Grand Theft Auto V,X360,Shooter,3.8,664.0,30000.0,3.2K,16.38,9.63,5.31,0.06,1.38,2013.0,2013.0,Take-Two Interactive
Grand Theft Auto V,PS4,Shooter,3.8,664.0,30000.0,3.2K,11.98,3.8,5.81,0.36,2.02,2014.0,2013.0,Take-Two Interactive
Grand Theft Auto V,XOne,Shooter,3.8,664.0,30000.0,3.2K,5.08,2.66,2.01,0.0,0.41,2014.0,2013.0,Take-Two Interactive
Grand Theft Auto V,PC,Shooter,3.8,664.0,30000.0,3.2K,1.08,0.36,0.64,0.0,0.08,2015.0,2013.0,Take-Two Interactive
Dark Souls III,PS4,Adventure,4.2,2200.0,19000.0,4.3K,1.56,0.58,0.44,0.33,0.21,2016.0,2016.0,Namco Bandai Games
Dark Souls III,XOne,Adventure,4.2,2200.0,19000.0,4.3K,0.35,0.23,0.09,0.0,0.03,2016.0,2016.0,Namco Bandai Games
